month,usd_jpy,eur_jpy,sp500
2019-12,109,122,3221
2020-09,105,123,3352
2020-10,104,123,3271
2020-11,104,125,3622
2020-12,104,127,3735
2021-01,104,126,3787
2021-02,107,129,3902
2021-03,110,129,3971
2021-04,109,132,4183
2021-05,110,134,4204
2021-06,111,132,4291
2021-07,110,130,4401
2021-08,110,130,4448
2021-09,112,130,4353
2021-10,114,132,4566
2021-11,113,131,4698
2021-12,114,128,4669
2022-01,115,128,4432
2022-02,116,130,4385
2022-03,123,137,4632
2022-04,122,135,4546
2022-05,127,136,4132
2022-06,136,143,3822
2022-07,133,136,4130
2022-08,137,137,4058
2022-09,144,140,3719
2022-10,147,147,3901
2022-11,139,144,3964
2022-12,131,141,3824
2023-01,130,141,4077
2023-02,136,144,3970
2023-03,133,144,4109
2023-04,136,152,4169
2023-05,139,149,4180
2023-06,144,158,4450
2023-07,141,156,4582
2023-08,146,159,4433
2023-09,149,158,4300
2023-10,150,158,4117
2023-11,147,162,4555
2023-12,141,157,4782
2024-01,148,161,4891
2024-02,151,163,5070
2024-03,151,164,5234
2024-04,156,167,5116
2024-05,156,170,5303
2024-06,161,172,5460
2024-07,154,167,5427
2024-08,146,163,5571
2024-09,143,160,5733
2024-10,153,166,5824
2024-11,150,158,6047
2024-12,158,165,5907
2025-01,156,164,6012
2025-02,150,156,5862
2025-03,150,163,5581
2025-04,143,162,5569
2025-05,146,164,5889
2025-06,145,169,6141
2025-07,146,172,6359
2025-08,147,172,6460
2025-09,148,174,6664
2025-10,153,178,6792
2025-11,156,181,6849
2025-12,156,184,6932
2026-01,154,130,6939
2026-02,156,132,6879
2026-03,159,138,6529
2026-04,157,134,7209
2026-05,159,136,7580
2026-06,163,142,7499
